Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
1,2023,SP,Logan Webb,26,11,13,0.458,3.25,33,33,0,2,1,0,216.0,201,83,78,20,31,0,194,5,0,1,850,130,3.16,1.074,8.4,0.8,1.3,8.1,6.26,Right,No
2,2023,SP,Alex Cobb,35,7,7,0.5,3.87,28,28,0,2,1,0,151.1,163,69,65,19,37,0,131,6,5,7,646,109,4.01,1.322,9.7,1.1,2.2,7.8,3.54,Right,No
3,2023,SP,Anthony DeSclafani,33,4,8,0.333,4.88,19,18,0,0,0,0,99.2,105,59,54,15,20,0,79,4,0,3,419,87,4.35,1.254,9.5,1.4,1.8,7.1,3.95,Right,No
4,2023,CL,Camilo Doval,25,6,6,0.5,2.93,69,0,60,0,0,39,67.2,51,32,22,3,26,6,87,8,3,10,281,145,2.77,1.138,6.8,0.4,3.5,11.6,3.35,Right,No
5,2023,RP,Tyler Rogers,32,4,5,0.444,3.04,68,0,8,0,0,2,74.0,66,27,25,7,19,2,60,3,0,0,309,139,3.76,1.149,8.0,0.9,2.3,7.3,3.16,Right,No
6,2023,RP,Ryan Walker,27,5,3,0.625,3.23,49,13,6,0,0,1,61.1,61,25,22,8,24,0,78,2,0,3,263,131,3.68,1.386,9.0,1.2,3.5,11.4,3.25,Right,No
7,2023,RP,Taylor Rogers,32,6,4,0.6,3.83,60,0,12,0,0,2,51.2,39,27,22,6,25,3,64,3,0,3,216,111,3.91,1.239,6.8,1.0,4.4,11.1,2.56,Left,No
8,2023,RP,Scott Alexander,33,7,3,0.7,4.66,55,8,11,0,0,1,48.1,55,30,25,2,11,3,31,1,0,7,208,91,3.26,1.366,10.2,0.4,2.0,5.8,2.82,Left,No
9,2023,,Sean Manaea,31,7,6,0.538,4.44,37,10,2,0,0,1,117.2,104,68,58,14,42,0,128,8,0,3,499,95,3.9,1.241,8.0,1.1,3.2,9.8,3.05,Left,No
10,2023,,Alex Wood,32,5,5,0.5,4.33,29,12,2,0,0,0,97.2,98,52,47,9,42,0,74,8,2,3,429,98,4.47,1.433,9.0,0.8,3.9,6.8,1.76,Left,No
